Date,Open,High,Low,Close,Adj Close,Volume
2020-04-13,5.100000,5.600000,5.030000,5.460000,5.345621,3698200
2020-04-14,5.650000,5.900000,5.650000,5.810000,5.688288,9044200
2020-04-15,5.650000,5.870000,5.520000,5.700000,5.580593,3041400
2020-04-16,5.920000,5.990000,5.580000,5.730000,5.609964,2730900
2020-04-17,5.850000,6.430000,5.680000,5.760000,5.639336,12098300
2020-04-20,5.650000,5.930000,5.620000,5.700000,5.580593,3111900
2020-04-22,5.730000,5.830000,5.550000,5.610000,5.492478,6910500
2020-04-23,5.700000,5.780000,5.260000,5.400000,5.286878,3222400
2020-04-24,5.340000,5.420000,4.770000,4.990000,4.885466,3983700
2020-04-27,5.110000,5.210000,4.830000,5.100000,4.993162,3858600
2020-04-28,5.220000,5.420000,5.120000,5.350000,5.237925,4375500
2020-04-29,5.480000,5.570000,5.270000,5.500000,5.384782,3217300
2020-04-30,5.350000,5.450000,5.030000,5.030000,4.924628,6718600
2020-05-04,4.900000,4.960000,4.810000,4.930000,4.826723,2319100
2020-05-05,5.020000,5.110000,4.880000,4.960000,4.856095,3012200
2020-05-06,4.950000,4.970000,4.780000,4.850000,4.748399,1960900
2020-05-07,5.200000,5.200000,4.850000,4.860000,4.760835,5317700
2020-05-08,4.910000,4.960000,4.710000,4.830000,4.731447,4531700
2020-05-11,4.810000,4.890000,4.720000,4.810000,4.711855,2695100
2020-05-12,4.820000,4.890000,4.720000,4.750000,4.653080,2582800
2020-05-13,4.760000,4.840000,4.520000,4.590000,4.496345,4602000
2020-05-14,4.520000,4.810000,4.390000,4.810000,4.711855,2943200
2020-05-15,4.790000,4.880000,4.610000,4.770000,4.672672,1931900
2020-05-18,4.880000,5.120000,4.710000,5.090000,4.986142,3552900
2020-05-19,5.080000,5.160000,4.960000,5.050000,4.946959,2275900
2020-05-20,5.080000,5.120000,4.920000,5.090000,4.986142,3208600
2020-05-21,5.080000,5.350000,5.060000,5.350000,5.240837,4569000
2020-05-22,5.290000,5.410000,5.060000,5.150000,5.044918,2726400
2020-05-25,5.320000,5.450000,5.270000,5.370000,5.260429,3462300
2020-05-26,5.510000,5.630000,5.110000,5.210000,5.103694,4196300
2020-05-27,5.320000,5.730000,5.270000,5.700000,5.583695,6352300
2020-05-28,5.660000,5.820000,5.640000,5.690000,5.573900,3999900
2020-05-29,5.680000,5.780000,5.480000,5.600000,5.485736,16968300
2020-06-01,5.650000,6.210000,5.570000,6.000000,5.877574,6158600
2020-06-02,6.280000,7.150000,6.280000,6.940000,6.798394,6745900
2020-06-03,7.410000,8.450000,7.210000,8.400000,8.228603,13470200
2020-06-04,8.080000,9.060000,7.920000,8.960000,8.777178,12828500
2020-06-05,9.290000,9.530000,8.670000,8.990000,8.806565,16007500
2020-06-08,9.010000,9.470000,9.010000,9.200000,9.012280,7634500
2020-06-09,8.950000,9.750000,8.780000,9.650000,9.453098,6920500
2020-06-10,9.790000,9.840000,8.760000,9.120000,8.933913,9953500
2020-06-12,8.630000,9.140000,8.420000,8.970000,8.786974,5509500
2020-06-15,8.420000,9.070000,8.260000,8.960000,8.777178,6470400
2020-06-16,9.280000,9.380000,8.620000,8.730000,8.551870,6094200
2020-06-17,8.760000,8.860000,8.620000,8.670000,8.493095,3736700
2020-06-18,8.660000,8.790000,8.480000,8.560000,8.385340,5259200
2020-06-19,8.750000,8.920000,8.330000,8.920000,8.737994,9706100
2020-06-22,8.880000,9.260000,8.680000,8.950000,8.767382,6297100
2020-06-23,9.210000,9.770000,9.090000,9.750000,9.551058,10597400
2020-06-24,9.720000,10.470000,9.420000,10.050000,9.844937,14367500
2020-06-25,10.060000,10.350000,9.360000,9.540000,9.345344,8596200
2020-06-26,9.530000,9.800000,8.960000,8.970000,8.786974,7430500
2020-06-29,9.060000,9.400000,8.770000,9.200000,9.012280,5471000
2020-06-30,9.160000,9.500000,8.800000,8.800000,8.620442,6369100
2020-07-01,8.920000,9.170000,8.790000,9.170000,8.982893,4394500
2020-07-02,9.250000,9.380000,9.050000,9.060000,8.875137,4267100
2020-07-03,9.080000,9.500000,9.010000,9.420000,9.227792,2354000
2020-07-06,9.570000,9.700000,9.340000,9.360000,9.169016,3792500
2020-07-07,9.330000,9.560000,9.130000,9.200000,9.012280,3368500
2020-07-08,9.250000,9.420000,9.190000,9.410000,9.217996,2806100
2020-07-09,9.460000,9.530000,9.210000,9.300000,9.110240,2076500
2020-07-10,9.310000,9.480000,9.190000,9.350000,9.159221,3593600
2020-07-13,9.620000,10.370000,9.620000,9.980000,9.776365,17047900
2020-07-14,10.050000,10.100000,9.640000,9.780000,9.580446,5885200
2020-07-15,9.980000,10.300000,9.920000,10.040000,9.835141,4568400
2020-07-16,10.000000,10.240000,9.890000,10.080000,9.874325,2632200
2020-07-17,10.100000,10.240000,9.950000,9.970000,9.766569,2751300
2020-07-20,9.970000,10.100000,9.850000,9.920000,9.717589,2442200
2020-07-21,10.010000,10.120000,9.800000,9.960000,9.756773,3747200
2020-07-22,10.050000,10.160000,9.880000,9.980000,9.776365,2584100
2020-07-23,10.040000,10.310000,9.520000,9.800000,9.600039,5211300
2020-07-24,9.890000,9.890000,9.330000,9.470000,9.276772,4216500
2020-07-27,9.530000,9.740000,9.380000,9.420000,9.227792,3457300
2020-07-28,9.430000,9.580000,9.300000,9.580000,9.384527,1794200
2020-07-29,9.620000,10.090000,9.560000,10.050000,9.844937,4172600
2020-07-30,9.900000,10.120000,9.820000,10.120000,9.913508,2197400
2020-07-31,10.120000,10.120000,9.820000,9.870000,9.668610,3224700
2020-08-03,9.950000,10.270000,9.660000,10.100000,9.893917,3669900
2020-08-04,10.010000,10.130000,9.730000,9.850000,9.649018,3278100
2020-08-05,9.950000,10.040000,9.740000,9.780000,9.580446,4307400
2020-08-06,9.860000,9.870000,9.510000,9.780000,9.580446,3456800
2020-08-07,9.790000,9.940000,9.710000,9.740000,9.541262,2235100
2020-08-10,9.790000,9.840000,9.690000,9.720000,9.521670,1438500
2020-08-11,9.810000,10.080000,9.620000,9.640000,9.443303,2487000
2020-08-12,9.680000,9.770000,8.900000,9.140000,8.953506,4602000
2020-08-13,9.220000,9.240000,8.890000,8.980000,8.796769,2298900
2020-08-14,8.980000,9.050000,8.810000,8.980000,8.796769,1492100
2020-08-17,9.000000,9.120000,8.460000,8.540000,8.365747,2392100
2020-08-18,8.760000,9.080000,8.680000,8.970000,8.786974,1607900
2020-08-19,9.050000,9.060000,8.790000,8.870000,8.689013,1261600
2020-08-20,8.700000,8.830000,8.610000,8.740000,8.561666,1913700
2020-08-21,8.780000,8.960000,8.670000,8.750000,8.571463,1462500
2020-08-24,8.900000,9.280000,8.790000,8.900000,8.718402,3324400
2020-08-25,8.940000,9.090000,8.710000,8.760000,8.581259,2322500
2020-08-26,8.750000,8.840000,8.380000,8.450000,8.277584,6485000
2020-08-27,8.470000,8.630000,8.360000,8.530000,8.355951,4899400
2020-08-28,8.600000,8.750000,8.530000,8.670000,8.493095,8085800
2020-08-31,8.570000,8.680000,8.270000,8.470000,8.297176,7412100
2020-09-01,8.470000,8.750000,8.470000,8.730000,8.551870,5149900
2020-09-02,8.710000,8.900000,8.590000,8.800000,8.620442,3196900
2020-09-03,8.820000,9.200000,8.740000,9.050000,8.865341,9157600
2020-09-04,9.100000,9.420000,8.980000,9.250000,9.061260,7490000
2020-09-08,9.170000,9.340000,8.990000,9.150000,8.963301,3527600
2020-09-09,9.180000,9.300000,8.960000,9.110000,8.924117,4810000
2020-09-10,9.140000,9.200000,8.790000,8.840000,8.659626,3629600
2020-09-11,8.900000,8.900000,8.480000,8.530000,8.355951,4678700
2020-09-14,8.600000,8.820000,8.480000,8.730000,8.551870,2525600
2020-09-15,8.800000,8.840000,8.560000,8.640000,8.463707,1707800
2020-09-16,8.660000,8.720000,8.470000,8.530000,8.355951,3147300
2020-09-17,8.490000,8.770000,8.380000,8.710000,8.532279,3414900
2020-09-18,8.670000,8.750000,8.330000,8.470000,8.297176,3572800
2020-09-21,8.180000,8.410000,8.030000,8.230000,8.062073,5486700
2020-09-22,8.280000,8.360000,8.070000,8.300000,8.130645,2045600
2020-09-23,8.320000,8.320000,7.960000,8.010000,7.846562,2466600
2020-09-24,8.010000,8.320000,7.840000,8.210000,8.042480,3110800
2020-09-25,8.190000,8.290000,8.060000,8.150000,7.983705,1140400
2020-09-28,8.300000,8.550000,8.040000,8.120000,7.954317,3104300
2020-09-29,8.160000,8.190000,7.850000,7.930000,7.768194,2117500
2020-09-30,7.950000,8.210000,7.890000,8.120000,7.954317,2419200
2020-10-01,8.170000,8.340000,8.070000,8.330000,8.160032,1706500
2020-10-02,8.260000,8.510000,8.240000,8.390000,8.218808,1941100
2020-10-05,8.400000,8.490000,8.240000,8.450000,8.277584,1391300
2020-10-06,8.500000,8.640000,8.420000,8.480000,8.306972,2237200
2020-10-07,8.530000,8.530000,8.140000,8.220000,8.052277,2318100
2020-10-08,8.280000,8.790000,8.160000,8.690000,8.512687,3010500
2020-10-09,8.700000,8.980000,8.650000,8.730000,8.551870,2509900
2020-10-13,8.750000,8.860000,8.610000,8.650000,8.473502,1361100
2020-10-14,8.670000,8.690000,8.450000,8.570000,8.395135,1665500
2020-10-15,8.460000,8.640000,8.360000,8.460000,8.287380,1991500
2020-10-16,8.470000,8.530000,8.240000,8.300000,8.130645,1453400
2020-10-19,8.340000,8.480000,8.170000,8.310000,8.140441,2612200
2020-10-20,8.360000,8.850000,8.300000,8.840000,8.659626,3892600
2020-10-21,8.780000,8.880000,8.690000,8.760000,8.581259,2512700
2020-10-22,8.780000,9.050000,8.730000,8.820000,8.640034,3540800
2020-10-23,8.860000,9.010000,8.610000,8.720000,8.542075,3278600
2020-10-26,8.680000,8.750000,8.440000,8.520000,8.346156,1549900
2020-10-27,8.570000,8.650000,8.270000,8.400000,8.228603,1845000
2020-10-28,8.190000,8.190000,7.690000,7.820000,7.660439,3809400
2020-10-29,7.800000,7.870000,7.430000,7.830000,7.670234,3128000
2020-10-30,7.800000,7.820000,7.330000,7.460000,7.307784,3039600
2020-11-03,7.580000,7.700000,7.240000,7.400000,7.249009,3030000
2020-11-04,7.500000,7.860000,7.330000,7.830000,7.670234,2944600
2020-11-05,7.980000,8.110000,7.730000,8.040000,7.875949,4828000
2020-11-06,7.980000,8.390000,7.900000,8.380000,8.209012,2291500
2020-11-09,8.610000,8.720000,8.320000,8.500000,8.326564,3479500
2020-11-10,8.500000,8.620000,8.300000,8.400000,8.228603,3426800
2020-11-11,8.400000,8.830000,8.380000,8.580000,8.404931,3731600
2020-11-12,8.580000,8.750000,8.520000,8.640000,8.463707,2967800
2020-11-13,8.640000,9.030000,8.620000,8.870000,8.689013,5531200
2020-11-16,9.020000,9.220000,8.880000,9.200000,9.012280,3371600
2020-11-17,9.150000,9.370000,9.090000,9.240000,9.051464,2722500
2020-11-18,9.240000,9.430000,9.090000,9.310000,9.120036,1677000
2020-11-19,9.270000,9.420000,9.180000,9.330000,9.139628,1853100
2020-11-23,9.360000,9.440000,9.120000,9.320000,9.129832,1104000
2020-11-24,9.350000,9.950000,9.270000,9.880000,9.678406,3262500
2020-11-25,9.830000,9.960000,9.710000,9.880000,9.678406,2164600
2020-11-26,9.760000,9.830000,9.570000,9.750000,9.551058,1832100
2020-11-27,9.730000,9.910000,9.470000,9.640000,9.443303,2027600
2020-11-30,9.600000,9.630000,9.350000,9.560000,9.364936,2170800
2020-12-01,9.690000,9.990000,9.470000,9.900000,9.697997,2893500
2020-12-02,9.970000,10.200000,9.920000,10.090000,9.884121,2762200
2020-12-03,10.070000,10.260000,9.960000,9.960000,9.756773,2892000
2020-12-04,10.040000,10.120000,9.750000,9.850000,9.649018,1786300
2020-12-07,9.860000,10.060000,9.700000,9.900000,9.697997,1981900
2020-12-08,9.900000,10.220000,9.770000,10.040000,9.835141,2058500
2020-12-09,10.110000,10.230000,9.910000,10.020000,9.815550,1696600
2020-12-10,10.020000,10.150000,9.760000,10.110000,9.903712,1717800
2020-12-11,9.980000,10.140000,9.940000,10.000000,9.795958,1363400
2020-12-14,10.060000,10.160000,9.850000,9.950000,9.746977,1625100
2020-12-15,9.950000,10.380000,9.950000,10.120000,9.913508,2816300
2020-12-16,10.140000,10.180000,9.810000,10.070000,9.864529,2095500
2020-12-17,10.100000,10.250000,9.960000,10.010000,9.805754,1353400
2020-12-18,10.100000,10.180000,9.890000,9.950000,9.746977,1887900
2020-12-21,9.750000,10.110000,9.360000,9.930000,9.727386,1823100
2020-12-22,9.980000,10.210000,9.930000,10.010000,9.805754,1755800
2020-12-23,9.920000,10.090000,9.810000,9.960000,9.960000,1668600
2020-12-28,9.960000,10.350000,9.950000,10.100000,10.100000,1808400
2020-12-29,10.140000,10.150000,9.900000,9.940000,9.940000,1463100
2020-12-30,9.960000,10.040000,9.530000,9.530000,9.530000,5043500
2021-01-04,9.670000,9.740000,9.360000,9.360000,9.360000,3090600
2021-01-05,9.370000,9.500000,9.140000,9.320000,9.320000,2002200
2021-01-06,9.340000,9.530000,9.280000,9.300000,9.300000,2094600
2021-01-07,9.310000,9.490000,9.190000,9.380000,9.380000,1780800
2021-01-08,9.400000,9.630000,9.350000,9.570000,9.570000,1914500
2021-01-11,9.450000,9.950000,9.410000,9.800000,9.800000,2847900
2021-01-12,9.830000,9.920000,9.630000,9.770000,9.770000,1405600
2021-01-13,9.760000,9.850000,9.500000,9.590000,9.590000,1703700
2021-01-14,9.630000,9.980000,9.620000,9.970000,9.970000,2222000
2021-01-15,9.900000,9.950000,9.440000,9.490000,9.490000,2012400
2021-01-18,9.560000,9.730000,9.380000,9.450000,9.450000,1431800
2021-01-19,9.530000,9.560000,9.310000,9.530000,9.530000,1445000
2021-01-20,9.540000,9.760000,9.460000,9.700000,9.700000,1859500
2021-01-21,9.670000,9.790000,9.390000,9.450000,9.450000,1491100
2021-01-22,9.320000,9.480000,9.230000,9.360000,9.360000,2392500
2021-01-26,9.360000,9.590000,9.100000,9.180000,9.180000,20776200
2021-01-27,9.160000,9.460000,9.070000,9.280000,9.280000,1553500
2021-01-28,9.270000,9.790000,9.220000,9.620000,9.620000,2118700
2021-01-29,9.540000,9.720000,9.330000,9.390000,9.390000,1052300
2021-02-01,9.500000,10.050000,9.400000,9.970000,9.970000,4218300
2021-02-02,10.060000,10.190000,9.910000,10.070000,10.070000,3112400
2021-02-03,10.130000,11.760000,10.130000,11.290000,11.290000,10309200
2021-02-04,11.380000,12.110000,11.120000,11.850000,11.850000,8836300
2021-02-05,11.920000,12.300000,11.720000,12.260000,12.260000,4777000
2021-02-08,12.370000,13.320000,12.260000,13.040000,13.040000,7743700
2021-02-09,12.680000,13.200000,12.410000,13.100000,13.100000,9103300
2021-02-10,13.060000,13.070000,12.560000,12.750000,12.750000,4595300
2021-02-11,12.920000,13.050000,12.630000,12.800000,12.800000,3253200
2021-02-12,12.780000,12.910000,12.470000,12.560000,12.560000,5090700
2021-02-18,12.690000,13.660000,12.610000,12.960000,12.960000,6732600
2021-02-19,13.100000,13.520000,12.770000,13.450000,13.450000,2827000
2021-02-24,13.790000,14.690000,13.790000,14.210000,14.210000,8198700
2021-02-25,14.150000,14.390000,13.530000,14.010000,14.010000,5837800
2021-02-26,13.950000,14.870000,13.460000,13.890000,13.890000,7466300
2021-03-01,14.490000,15.150000,14.050000,14.550000,14.550000,8872600
2021-03-02,14.440000,14.900000,13.860000,14.530000,14.530000,5477700
2021-03-03,14.530000,14.730000,13.330000,13.870000,13.870000,5426800
2021-03-04,13.870000,14.240000,13.210000,13.510000,13.510000,6212000
2021-03-05,13.490000,13.550000,12.900000,13.050000,13.050000,5988400
2021-03-08,12.720000,13.100000,11.710000,11.840000,11.840000,9071000
2021-03-09,11.770000,12.010000,11.160000,11.210000,11.210000,8342000
2021-03-10,11.260000,11.640000,10.900000,11.280000,11.280000,7265500
2021-03-12,11.300000,11.440000,10.990000,11.330000,11.330000,4685500
2021-03-15,11.200000,11.480000,11.070000,11.260000,11.260000,3036600
2021-03-16,11.240000,11.300000,10.670000,10.800000,10.800000,4553000
2021-03-18,12.080000,12.100000,11.150000,11.370000,11.370000,6598500
2021-03-19,11.440000,11.500000,11.080000,11.400000,11.400000,4851000
2021-03-22,11.390000,11.460000,10.910000,11.080000,11.080000,4091800
2021-03-23,10.970000,11.470000,10.840000,11.150000,11.150000,4124000
2021-03-24,11.170000,11.230000,10.550000,10.580000,10.580000,3374100
2021-03-25,10.580000,10.830000,10.420000,10.760000,10.760000,2961300
2021-03-26,10.850000,10.910000,10.330000,10.780000,10.780000,2925700
2021-03-29,10.690000,10.950000,10.520000,10.630000,10.630000,2314600
2021-03-30,10.620000,10.940000,10.550000,10.840000,10.840000,2163300
2021-03-31,10.860000,11.130000,10.740000,10.990000,10.990000,5810700
2021-04-01,10.980000,11.430000,10.610000,10.800000,10.800000,7381200
2021-04-05,10.920000,11.240000,10.710000,11.240000,11.240000,4212100
2021-04-06,13.000000,13.300000,12.130000,12.870000,12.870000,18197400
