Date,Open,High,Low,Close,Adj Close,Volume
2019-07-08,3.850000,4.480000,3.810000,4.420000,4.420000,1321800
2019-07-10,4.600000,5.340000,4.590000,5.000000,5.000000,1783000
2019-07-11,4.850000,4.960000,4.400000,4.400000,4.400000,540800
2019-07-12,4.500000,4.810000,4.330000,4.660000,4.660000,421500
2019-07-15,4.820000,4.830000,4.630000,4.660000,4.660000,288800
2019-07-16,4.700000,4.720000,4.430000,4.450000,4.450000,168300
2019-07-17,4.460000,4.510000,4.370000,4.450000,4.450000,131900
2019-07-18,4.490000,4.740000,4.380000,4.390000,4.390000,426900
2019-07-19,4.420000,4.480000,4.310000,4.310000,4.310000,125500
2019-07-22,4.320000,4.390000,4.130000,4.300000,4.300000,159200
2019-07-23,4.310000,4.310000,4.190000,4.220000,4.220000,28400
2019-07-24,4.230000,4.330000,4.160000,4.180000,4.180000,84900
2019-07-25,4.190000,4.700000,4.180000,4.500000,4.500000,565200
2019-07-26,4.500000,4.650000,4.330000,4.370000,4.370000,221000
2019-07-29,4.430000,4.500000,4.390000,4.460000,4.460000,68600
2019-07-30,4.470000,4.550000,4.400000,4.420000,4.420000,122000
2019-07-31,4.450000,4.450000,4.250000,4.260000,4.260000,252900
2019-08-01,4.280000,4.650000,4.280000,4.600000,4.600000,281000
2019-08-02,4.590000,4.590000,4.380000,4.400000,4.400000,205400
2019-08-05,4.320000,4.400000,4.290000,4.310000,4.310000,122700
2019-08-06,4.400000,4.400000,4.290000,4.320000,4.320000,93600
2019-08-07,4.340000,4.340000,4.260000,4.300000,4.300000,64300
2019-08-08,4.320000,4.540000,4.290000,4.490000,4.490000,232900
2019-08-09,4.480000,4.540000,4.430000,4.500000,4.500000,110900
2019-08-12,4.470000,4.750000,4.400000,4.700000,4.700000,363300
2019-08-13,4.740000,4.900000,4.670000,4.830000,4.830000,233900
2019-08-14,4.830000,4.900000,4.650000,4.790000,4.790000,228000
2019-08-15,4.900000,4.900000,4.410000,4.420000,4.420000,244800
2019-08-16,4.460000,4.570000,4.270000,4.350000,4.350000,151700
2019-08-19,4.370000,4.460000,4.190000,4.250000,4.250000,100000
2019-08-20,4.220000,4.220000,3.790000,3.790000,3.790000,225800
2019-08-21,3.890000,4.000000,3.810000,3.930000,3.930000,117700
2019-08-22,3.950000,4.030000,3.800000,4.030000,4.030000,160100
2019-08-23,4.010000,4.140000,3.900000,3.940000,3.940000,120900
2019-08-26,4.050000,4.060000,3.810000,3.840000,3.840000,56800
2019-08-27,3.840000,3.960000,3.800000,3.890000,3.890000,80200
2019-08-28,3.900000,4.050000,3.880000,3.950000,3.950000,71400
2019-08-29,4.020000,4.490000,4.020000,4.450000,4.450000,375800
2019-08-30,4.460000,5.440000,4.370000,5.440000,5.440000,1905900
2019-09-02,5.200000,5.600000,5.030000,5.300000,5.300000,814500
2019-09-03,5.220000,5.490000,4.910000,5.270000,5.270000,485500
2019-09-04,5.350000,5.390000,5.070000,5.160000,5.160000,217200
2019-09-05,5.200000,5.500000,5.140000,5.220000,5.220000,352000
2019-09-06,5.250000,5.290000,5.100000,5.180000,5.180000,112700
2019-09-09,5.180000,5.260000,5.070000,5.260000,5.260000,172000
2019-09-10,5.300000,5.390000,5.180000,5.380000,5.380000,116700
2019-09-11,5.450000,6.180000,5.420000,6.000000,6.000000,1122800
2019-09-12,5.990000,6.050000,5.500000,5.500000,5.500000,417800
2019-09-13,5.520000,5.740000,5.320000,5.400000,5.400000,224300
2019-09-16,5.720000,5.860000,5.380000,5.480000,5.480000,354800
2019-09-17,5.480000,5.570000,5.200000,5.480000,5.480000,142700
2019-09-18,5.440000,5.780000,5.430000,5.750000,5.750000,185500
2019-09-19,5.770000,5.790000,5.560000,5.560000,5.560000,115900
2019-09-20,5.500000,5.640000,5.450000,5.640000,5.640000,211000
2019-09-23,5.640000,5.780000,5.500000,5.630000,5.630000,102400
2019-09-24,5.740000,5.740000,5.540000,5.590000,5.590000,72600
2019-09-25,5.510000,5.690000,5.450000,5.550000,5.550000,95900
2019-09-26,5.620000,5.690000,5.450000,5.500000,5.500000,52100
2019-09-27,5.500000,5.600000,5.350000,5.600000,5.600000,70400
2019-09-30,5.600000,5.630000,5.440000,5.580000,5.580000,71600
2019-10-01,5.480000,5.890000,5.450000,5.690000,5.690000,272600
2019-10-02,5.580000,5.690000,5.510000,5.510000,5.510000,98000
2019-10-03,5.560000,5.650000,5.350000,5.490000,5.490000,135100
2019-10-04,5.550000,5.830000,5.520000,5.650000,5.650000,144000
2019-10-07,5.650000,5.690000,5.530000,5.560000,5.560000,50100
2019-10-08,5.580000,5.620000,5.480000,5.510000,5.510000,64000
2019-10-09,5.510000,5.640000,5.470000,5.640000,5.640000,84600
2019-10-10,5.520000,5.570000,5.470000,5.470000,5.470000,54000
2019-10-11,5.590000,5.680000,5.500000,5.500000,5.500000,114500
2019-10-14,5.480000,5.570000,5.480000,5.500000,5.500000,67400
2019-10-15,5.510000,5.670000,5.510000,5.570000,5.570000,61600
2019-10-16,5.560000,5.590000,5.500000,5.510000,5.510000,35200
2019-10-17,5.510000,5.590000,5.500000,5.550000,5.550000,57800
2019-10-18,5.580000,5.670000,5.550000,5.630000,5.630000,93400
2019-10-21,5.670000,5.770000,5.580000,5.660000,5.660000,67100
2019-10-22,5.660000,5.740000,5.600000,5.600000,5.600000,83500
2019-10-23,5.690000,5.690000,5.510000,5.510000,5.510000,107000
2019-10-24,5.580000,6.400000,5.550000,6.230000,6.230000,907100
2019-10-25,6.180000,6.640000,5.980000,6.290000,6.290000,679600
2019-10-28,6.290000,6.390000,6.020000,6.150000,6.150000,271500
2019-10-29,6.160000,6.220000,6.020000,6.100000,6.100000,142700
2019-10-30,6.100000,6.700000,6.080000,6.430000,6.430000,537600
2019-10-31,6.460000,7.100000,6.410000,6.700000,6.700000,486300
2019-11-01,6.780000,7.260000,6.700000,6.990000,6.990000,532400
2019-11-04,7.010000,8.000000,7.010000,8.000000,8.000000,708100
2019-11-05,8.090000,8.270000,7.590000,7.750000,7.750000,669700
2019-11-06,7.900000,8.880000,7.500000,8.880000,8.880000,702100
2019-11-07,8.750000,9.400000,8.410000,8.790000,8.790000,1027900
2019-11-08,8.790000,9.080000,8.550000,8.550000,8.550000,362000
2019-11-11,8.500000,9.000000,8.060000,8.660000,8.660000,376000
2019-11-12,8.650000,8.800000,8.150000,8.440000,8.440000,337700
2019-11-13,8.540000,8.670000,8.190000,8.400000,8.400000,254100
2019-11-14,8.250000,8.550000,8.110000,8.490000,8.490000,340700
2019-11-18,8.610000,9.250000,8.490000,9.180000,9.180000,537400
2019-11-19,9.240000,9.350000,8.760000,9.050000,9.050000,636000
2019-11-21,9.060000,9.740000,9.060000,9.610000,9.610000,768600
2019-11-22,9.670000,9.950000,9.160000,9.360000,9.360000,339200
2019-11-25,9.450000,9.990000,9.330000,9.980000,9.980000,408000
2019-11-26,10.000000,10.400000,9.450000,9.450000,9.450000,635800
2019-11-27,9.610000,9.850000,9.350000,9.680000,9.680000,454200
2019-11-28,9.700000,10.190000,9.410000,10.170000,10.170000,372500
2019-11-29,10.250000,10.400000,9.880000,10.400000,10.400000,518000
2019-12-02,10.400000,10.460000,7.990000,7.990000,7.990000,1645400
2019-12-03,7.500000,7.500000,3.060000,3.100000,3.100000,11523200
2019-12-04,3.350000,3.680000,2.970000,3.240000,3.240000,26433000
2019-12-05,3.370000,3.480000,3.260000,3.320000,3.320000,9845300
2019-12-06,3.360000,3.400000,3.170000,3.220000,3.220000,5877500
2019-12-09,3.230000,3.230000,3.100000,3.110000,3.110000,3601800
2019-12-10,3.130000,3.290000,3.020000,3.140000,3.140000,4031400
2019-12-11,3.160000,3.210000,3.090000,3.100000,3.100000,2590700
2019-12-12,3.110000,3.170000,3.070000,3.080000,3.080000,2687400
2019-12-13,3.100000,3.130000,3.080000,3.120000,3.120000,1233800
