Date,Open,High,Low,Close,Adj Close,Volume
2020-04-06,0.490000,0.500000,0.470000,0.480000,0.480000,78541300
2020-04-07,0.490000,0.520000,0.490000,0.510000,0.510000,166994100
2020-04-08,0.500000,0.520000,0.490000,0.510000,0.510000,92514900
2020-04-09,0.520000,0.550000,0.490000,0.510000,0.510000,128557100
2020-04-13,0.500000,0.520000,0.490000,0.510000,0.510000,54041000
2020-04-14,0.510000,0.560000,0.510000,0.550000,0.550000,159112800
2020-04-15,0.530000,0.740000,0.520000,0.610000,0.610000,504988000
2020-04-16,0.650000,0.690000,0.610000,0.640000,0.640000,328644000
2020-04-17,0.660000,0.670000,0.640000,0.660000,0.660000,138856600
2020-04-20,0.640000,0.680000,0.630000,0.650000,0.650000,128676700
2020-04-22,0.670000,0.680000,0.660000,0.670000,0.670000,66024100
2020-04-23,0.680000,0.710000,0.630000,0.650000,0.650000,224679700
2020-04-24,0.640000,0.640000,0.540000,0.600000,0.600000,321436500
2020-04-27,0.620000,0.630000,0.580000,0.610000,0.610000,108767800
2020-04-28,0.630000,0.640000,0.600000,0.620000,0.620000,130044500
2020-04-29,0.630000,0.650000,0.610000,0.630000,0.630000,176349400
2020-04-30,0.620000,0.630000,0.600000,0.620000,0.620000,94707100
2020-05-04,0.600000,0.740000,0.590000,0.680000,0.680000,462219100
2020-05-05,0.720000,0.740000,0.680000,0.700000,0.700000,227223900
2020-05-06,0.690000,0.710000,0.670000,0.700000,0.700000,157378900
2020-05-07,0.710000,0.720000,0.670000,0.670000,0.670000,127232500
2020-05-08,0.680000,0.700000,0.670000,0.690000,0.690000,75580000
2020-05-11,0.680000,0.690000,0.650000,0.650000,0.650000,135381600
2020-05-12,0.650000,0.660000,0.630000,0.630000,0.630000,81416400
2020-05-13,0.630000,0.640000,0.590000,0.600000,0.600000,88695400
2020-05-14,0.590000,0.640000,0.560000,0.610000,0.610000,155580900
2020-05-15,0.610000,0.640000,0.580000,0.600000,0.600000,112018000
2020-05-18,0.620000,0.630000,0.590000,0.610000,0.610000,125112400
2020-05-19,0.610000,0.620000,0.590000,0.600000,0.600000,93121400
2020-05-20,0.610000,0.640000,0.600000,0.630000,0.630000,143435600
2020-05-21,0.650000,0.700000,0.630000,0.650000,0.650000,303940000
2020-05-22,0.640000,0.650000,0.630000,0.640000,0.640000,106964300
2020-05-25,0.650000,0.700000,0.640000,0.690000,0.690000,125566200
2020-05-26,0.700000,0.710000,0.660000,0.660000,0.660000,153124500
2020-05-27,0.660000,0.700000,0.650000,0.700000,0.700000,180177700
2020-05-28,0.700000,0.740000,0.690000,0.720000,0.720000,178233400
2020-05-29,0.730000,0.750000,0.710000,0.750000,0.750000,141930500
2020-06-01,0.750000,0.830000,0.750000,0.800000,0.800000,271304300
2020-06-02,0.840000,0.860000,0.810000,0.830000,0.830000,226236300
2020-06-03,0.840000,0.860000,0.800000,0.820000,0.820000,197285100
2020-06-04,0.810000,0.840000,0.800000,0.830000,0.830000,165219100
2020-06-05,0.850000,0.890000,0.830000,0.840000,0.840000,126086200
2020-06-08,0.860000,0.860000,0.840000,0.860000,0.860000,98909000
2020-06-09,0.840000,0.930000,0.830000,0.920000,0.920000,237295400
2020-06-10,0.960000,0.990000,0.900000,0.910000,0.910000,240227300
2020-06-12,0.870000,1.040000,0.850000,1.020000,1.020000,292544400
2020-06-15,1.020000,1.020000,0.960000,0.980000,0.980000,233938900
2020-06-16,0.950000,1.000000,0.860000,0.980000,0.980000,531471800
2020-06-17,0.990000,1.000000,0.930000,0.990000,0.990000,220707800
2020-06-18,0.970000,1.100000,0.970000,1.090000,1.090000,423376700
2020-06-19,1.110000,1.130000,1.040000,1.090000,1.090000,204992400
2020-06-22,1.110000,1.190000,1.090000,1.160000,1.160000,270061600
2020-06-23,1.190000,1.220000,1.110000,1.150000,1.150000,306636100
2020-06-24,1.170000,1.180000,1.110000,1.150000,1.150000,246431900
2020-06-25,1.170000,1.230000,1.140000,1.230000,1.230000,290475400
2020-06-26,1.220000,1.250000,1.150000,1.150000,1.150000,237959300
2020-06-29,1.170000,1.220000,1.120000,1.210000,1.210000,261405800
2020-06-30,1.200000,1.240000,1.170000,1.200000,1.200000,181791200
2020-07-01,1.200000,1.210000,1.170000,1.190000,1.190000,101288800
2020-07-02,1.200000,1.240000,1.190000,1.200000,1.200000,138483700
2020-07-03,1.200000,1.220000,1.180000,1.210000,1.210000,60935000
2020-07-06,1.240000,1.240000,1.210000,1.220000,1.220000,107103100
2020-07-07,1.210000,1.220000,1.190000,1.200000,1.200000,71018800
2020-07-08,1.210000,1.220000,1.190000,1.220000,1.220000,109876900
2020-07-09,1.220000,1.230000,1.150000,1.150000,1.150000,174934900
2020-07-10,1.130000,1.190000,1.080000,1.190000,1.190000,229153300
2020-07-13,1.190000,1.210000,1.150000,1.160000,1.160000,138493300
2020-07-14,1.160000,1.170000,1.120000,1.170000,1.170000,115405900
2020-07-15,1.170000,1.210000,1.140000,1.200000,1.200000,288175300
2020-07-16,1.200000,1.220000,1.180000,1.190000,1.190000,179181300
2020-07-17,1.200000,1.210000,1.190000,1.210000,1.210000,51163500
2020-07-20,1.340000,1.450000,1.270000,1.320000,1.320000,687281500
2020-07-21,1.380000,1.390000,1.300000,1.350000,1.350000,340812500
2020-07-22,1.340000,1.350000,1.310000,1.340000,1.340000,130661000
2020-07-23,1.550000,1.600000,1.500000,1.600000,1.600000,656445600
2020-07-24,1.660000,1.770000,1.630000,1.650000,1.650000,462859900
2020-07-27,1.780000,1.800000,1.710000,1.770000,1.770000,380225500
2020-07-28,1.880000,2.050000,1.840000,2.050000,2.050000,696597600
