Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,13.315000,13.355000,13.170000,13.305000,12.521031,1273490
2019-08-06,13.310000,13.310000,13.085000,13.085000,12.313994,1219589
2019-08-07,13.115000,13.215000,12.955000,12.955000,12.191654,2265021
2019-08-08,13.135000,13.255000,13.050000,13.250000,12.469273,1722214
2019-08-09,13.220000,13.315000,13.065000,13.065000,12.295172,2268606
2019-08-12,13.080000,13.140000,12.830000,12.830000,12.074019,1192877
2019-08-13,12.830000,13.010000,12.725000,12.965000,12.201065,1878630
2019-08-14,12.920000,13.000000,12.590000,12.675000,11.928153,2141783
2019-08-15,12.720000,12.745000,12.425000,12.500000,11.763464,1800853
2019-08-16,12.610000,12.660000,12.510000,12.520000,11.782286,1135447
2019-08-19,12.715000,12.795000,12.650000,12.700000,11.951679,1236944
2019-08-20,12.760000,12.795000,12.580000,12.600000,11.857573,1138362
2019-08-21,12.660000,12.860000,12.660000,12.815000,12.059903,1105900
2019-08-22,12.745000,12.930000,12.670000,12.755000,12.003439,1310796
2019-08-23,12.795000,12.835000,12.590000,12.615000,11.871688,1025199
2019-08-26,12.550000,12.600000,12.465000,12.545000,11.805813,711183
2019-08-27,12.555000,12.645000,12.505000,12.530000,11.791697,1129869
2019-08-28,12.570000,12.760000,12.530000,12.715000,11.965796,950121
2019-08-29,12.680000,12.855000,12.655000,12.815000,12.059903,1175449
2019-08-30,12.820000,13.060000,12.780000,13.060000,12.290467,1983010
2019-09-02,13.020000,13.075000,12.885000,13.005000,12.238708,1012347
2019-09-03,13.005000,13.030000,12.740000,12.765000,12.012851,1074724
2019-09-04,12.895000,12.995000,12.840000,12.910000,12.149305,932936
2019-09-05,12.990000,13.280000,12.985000,13.280000,12.497504,1453847
2019-09-06,13.075000,13.075000,12.905000,13.000000,12.532451,1910586
2019-09-09,13.080000,13.140000,12.890000,13.075000,12.604753,1399603
2019-09-10,13.105000,13.380000,13.080000,13.370000,12.889144,1833420
2019-09-11,13.365000,13.485000,13.170000,13.190000,12.715617,1431108
2019-09-12,13.190000,13.205000,12.950000,12.975000,12.508350,1436129
2019-09-13,13.010000,13.290000,12.980000,13.165000,12.691517,1157561
2019-09-16,13.635000,13.725000,13.480000,13.595000,13.106051,2402611
2019-09-17,13.650000,13.795000,13.510000,13.630000,13.139792,1994015
2019-09-18,13.645000,13.750000,13.580000,13.705000,13.212095,1440631
2019-09-19,13.755000,13.875000,13.635000,13.825000,13.327779,1327670
2019-09-20,13.785000,13.930000,13.765000,13.925000,13.424183,2614420
2019-09-23,13.910000,13.910000,13.640000,13.750000,13.255477,973839
2019-09-24,13.750000,13.765000,13.620000,13.675000,13.183174,1414431
2019-09-25,13.600000,13.600000,13.415000,13.560000,13.072310,1267321
2019-09-26,13.575000,13.660000,13.515000,13.540000,13.053029,1085613
2019-09-27,13.680000,13.730000,13.545000,13.670000,13.178354,1255298
2019-09-30,13.665000,13.895000,13.575000,13.825000,13.327779,1298816
2019-10-01,13.810000,13.895000,13.725000,13.730000,13.236196,1133506
2019-10-02,13.775000,13.775000,13.435000,13.435000,12.951806,2013076
2019-10-03,13.465000,13.465000,13.140000,13.255000,12.778279,1321256
2019-10-04,13.420000,13.440000,13.300000,13.370000,12.889144,1020473
2019-10-07,13.310000,13.670000,13.230000,13.670000,13.178354,1234559
2019-10-08,13.630000,13.700000,13.450000,13.485000,13.000008,2147363
2019-10-09,13.490000,13.560000,13.430000,13.480000,12.995187,1483379
2019-10-10,13.475000,13.525000,13.395000,13.460000,12.975906,1348901
2019-10-11,13.630000,13.670000,13.515000,13.630000,13.139792,1768769
2019-10-14,13.625000,13.655000,13.480000,13.565000,13.077130,1275829
2019-10-15,13.600000,13.745000,13.590000,13.650000,13.159073,1217409
2019-10-16,13.640000,13.655000,13.500000,13.550000,13.062670,1450756
2019-10-17,13.520000,13.700000,13.510000,13.550000,13.062670,1146238
2019-10-18,13.575000,13.670000,13.500000,13.530000,13.043389,967307
2019-10-21,13.515000,13.600000,13.475000,13.510000,13.024109,1289280
2019-10-22,13.600000,13.890000,13.510000,13.700000,13.207274,1820292
2019-10-23,13.560000,13.935000,13.545000,13.865000,13.366341,1664471
2019-10-24,13.965000,14.140000,13.895000,14.125000,13.616990,1625050
2019-10-25,14.150000,14.310000,14.115000,14.260000,13.747135,1062106
2019-10-28,14.295000,14.650000,14.250000,14.590000,14.065266,1562068
2019-10-29,14.545000,14.555000,14.385000,14.550000,14.026705,1333243
2019-10-30,14.590000,14.625000,14.480000,14.555000,14.031525,1672619
2019-10-31,14.610000,14.610000,14.280000,14.280000,13.766415,1671522
2019-11-01,14.285000,14.365000,14.170000,14.305000,13.790516,1046612
2019-11-04,14.380000,14.625000,14.375000,14.625000,14.099008,1550592
2019-11-05,14.605000,14.860000,14.595000,14.780000,14.248432,1488156
2019-11-06,14.820000,14.895000,14.735000,14.800000,14.267714,1643089
2019-11-07,14.855000,14.990000,14.830000,14.955000,14.417138,1182970
2019-11-08,14.920000,14.970000,14.840000,14.940000,14.402678,1311202
2019-11-11,14.905000,14.935000,14.835000,14.900000,14.364117,1550002
2019-11-12,14.950000,15.060000,14.910000,15.050000,14.508722,1380980
2019-11-13,15.075000,15.075000,14.980000,15.060000,14.518363,1225267
2019-11-14,15.050000,15.150000,14.950000,15.120000,14.576204,1306875
2019-11-15,15.150000,15.230000,15.110000,15.185000,14.638867,1542983
2019-11-18,15.195000,15.275000,15.165000,15.210000,14.662968,1629566
2019-11-19,15.150000,15.305000,15.120000,15.250000,14.701529,1563213
2019-11-20,15.250000,15.250000,15.040000,15.120000,14.576204,2013201
2019-11-21,15.065000,15.145000,14.980000,15.085000,14.542463,990853
2019-11-22,15.120000,15.320000,15.115000,15.210000,14.662968,1289338
2019-11-25,15.150000,15.260000,15.015000,15.025000,14.484621,1323283
2019-11-26,15.080000,15.080000,14.755000,14.940000,14.402678,2574485
2019-11-27,14.930000,14.940000,14.810000,14.870000,14.335196,955193
2019-11-28,14.800000,14.880000,14.715000,14.830000,14.296634,567088
2019-11-29,14.800000,14.865000,14.735000,14.775000,14.243612,1223228
2019-12-02,14.795000,14.905000,14.625000,14.655000,14.127928,1624933
2019-12-03,14.620000,14.650000,14.360000,14.415000,13.896560,1355493
2019-12-04,14.385000,14.520000,14.370000,14.465000,13.944761,2026988
2019-12-05,14.495000,14.655000,14.455000,14.490000,13.968863,1102928
2019-12-06,14.445000,14.645000,14.360000,14.610000,14.084546,800735
2019-12-09,14.620000,14.625000,14.480000,14.510000,13.988143,1248471
2019-12-10,14.500000,14.500000,14.215000,14.215000,13.703753,2030513
2019-12-11,14.230000,14.370000,14.215000,14.275000,13.761595,1526716
2019-12-12,14.260000,14.510000,14.250000,14.450000,13.930301,1778543
2019-12-13,14.510000,14.740000,14.435000,14.615000,14.089367,1930890
