Date,Open,High,Low,Close,Adj Close,Volume
2020-07-20,4.670000,4.880000,4.580000,4.840000,4.816325,14764800
2020-07-21,5.120000,5.260000,4.900000,4.980000,4.955640,19016600
2020-07-22,5.020000,5.460000,4.900000,5.330000,5.303928,22903400
2020-07-23,5.180000,5.340000,4.960000,5.130000,5.104907,21746200
2020-07-24,5.150000,5.350000,5.070000,5.200000,5.174564,13613400
2020-07-27,5.500000,5.680000,5.350000,5.510000,5.483047,17204300
2020-07-28,5.420000,5.640000,5.330000,5.460000,5.433292,11880200
2020-07-29,5.500000,5.630000,5.290000,5.520000,5.492999,12731000
2020-07-30,5.210000,5.450000,5.190000,5.350000,5.323830,13081300
2020-07-31,5.470000,5.530000,5.320000,5.520000,5.492999,11267700
2020-08-03,5.550000,5.620000,5.310000,5.590000,5.562656,11594900
2020-08-04,5.580000,6.090000,5.520000,6.050000,6.020406,16515500
2020-08-05,6.290000,6.650000,6.240000,6.420000,6.388597,19341900
2020-08-06,6.480000,6.790000,6.290000,6.650000,6.617471,19996700
2020-08-07,6.530000,6.550000,5.830000,6.120000,6.090064,18104000
2020-08-10,6.160000,6.550000,6.160000,6.230000,6.199526,12387900
2020-08-11,5.780000,5.960000,5.560000,5.630000,5.602460,18380300
2020-08-12,5.750000,5.900000,5.610000,5.640000,5.612411,11130300
2020-08-13,5.760000,6.170000,5.650000,6.110000,6.080113,16190800
2020-08-14,6.020000,6.140000,5.840000,6.040000,6.010455,9585300
2020-08-17,6.300000,6.520000,6.220000,6.370000,6.338840,12615000
2020-08-18,6.490000,6.500000,6.040000,6.170000,6.142712,10719400
2020-08-19,6.080000,6.150000,5.860000,5.890000,5.863950,10314200
2020-08-20,5.860000,6.080000,5.800000,6.020000,5.993375,7689000
2020-08-21,5.850000,5.950000,5.720000,5.810000,5.784304,8094500
2020-08-24,5.910000,5.920000,5.650000,5.690000,5.664835,8136500
2020-08-25,5.660000,5.700000,5.220000,5.430000,5.405984,13145600
2020-08-26,5.370000,5.840000,5.340000,5.770000,5.744481,10985300
2020-08-27,5.860000,5.900000,5.520000,5.700000,5.674790,9941000
2020-08-28,5.880000,6.000000,5.760000,5.900000,5.873906,7626500
2020-08-31,6.010000,6.140000,5.910000,6.020000,5.993375,8689000
2020-09-01,6.200000,6.240000,5.870000,5.970000,5.943596,9261100
2020-09-02,5.840000,5.870000,5.580000,5.860000,5.834083,7201700
2020-09-03,5.750000,5.840000,5.500000,5.750000,5.724569,9514900
2020-09-04,5.670000,5.750000,5.210000,5.580000,5.555321,13188200
2020-09-08,5.410000,5.620000,5.280000,5.450000,5.425896,9537100
2020-09-09,5.560000,5.730000,5.470000,5.720000,5.694702,8252700
2020-09-10,5.800000,5.920000,5.590000,5.620000,5.595144,8313700
2020-09-11,5.680000,5.710000,5.440000,5.450000,5.425896,6547000
2020-09-14,5.570000,5.790000,5.540000,5.760000,5.734525,9487300
2020-09-15,5.870000,5.910000,5.690000,5.800000,5.774348,7374600
2020-09-16,5.870000,5.880000,5.680000,5.780000,5.754437,7883200
2020-09-17,5.560000,5.790000,5.460000,5.770000,5.744481,6968200
2020-09-18,5.830000,5.930000,5.670000,5.680000,5.654879,15509200
2020-09-21,5.480000,5.720000,5.210000,5.240000,5.216825,13446500
2020-09-22,5.280000,5.350000,5.160000,5.260000,5.236737,8320300
2020-09-23,5.140000,5.240000,4.710000,4.720000,4.699124,14689900
2020-09-24,4.650000,5.050000,4.600000,4.970000,4.948019,8163000
2020-09-25,4.890000,4.970000,4.710000,4.920000,4.898240,6341200
2020-09-28,5.050000,5.100000,4.900000,5.010000,4.987843,6838700
2020-09-29,5.060000,5.130000,4.950000,5.070000,5.047577,6601500
2020-09-30,5.020000,5.170000,4.980000,5.080000,5.057532,7121700
2020-10-01,5.140000,5.240000,5.020000,5.210000,5.186957,7939500
2020-10-02,5.120000,5.230000,5.030000,5.080000,5.057532,6669600
2020-10-05,5.150000,5.350000,5.130000,5.290000,5.266603,6890200
2020-10-06,5.320000,5.360000,5.010000,5.020000,4.997798,10648400
2020-10-07,5.130000,5.200000,5.000000,5.160000,5.137178,7416900
2020-10-08,5.220000,5.260000,5.100000,5.200000,5.177001,4337200
2020-10-09,5.370000,5.530000,5.260000,5.530000,5.505543,8422900
2020-10-12,5.560000,5.600000,5.430000,5.540000,5.515498,6165400
2020-10-13,5.420000,5.460000,5.230000,5.410000,5.386073,5167400
2020-10-14,5.530000,5.540000,5.420000,5.460000,5.435852,5461800
2020-10-15,5.270000,5.470000,5.230000,5.440000,5.415940,4571500
2020-10-16,5.420000,5.480000,5.290000,5.300000,5.276560,4070500
2020-10-19,5.390000,5.420000,5.140000,5.160000,5.137178,5735400
2020-10-20,5.180000,5.290000,5.120000,5.210000,5.186957,4499800
2020-10-21,5.280000,5.430000,5.200000,5.250000,5.226780,6619200
2020-10-22,5.150000,5.280000,5.100000,5.250000,5.226780,7963500
2020-10-23,5.250000,5.290000,5.100000,5.150000,5.127223,5278900
2020-10-26,5.070000,5.180000,5.010000,5.080000,5.057532,7262300
2020-10-27,5.090000,5.130000,5.030000,5.080000,5.057532,4984600
2020-10-28,4.850000,4.880000,4.570000,4.630000,4.609523,10287500
2020-10-29,4.480000,4.660000,4.410000,4.610000,4.589612,6920100
2020-10-30,4.710000,4.710000,4.320000,4.580000,4.559744,13898300
2020-11-02,4.670000,4.870000,4.600000,4.850000,4.828550,6622200
2020-11-03,4.950000,5.110000,4.870000,5.090000,5.067489,6701000
2020-11-04,5.000000,5.050000,4.760000,4.770000,4.748904,6574700
2020-11-05,5.080000,5.570000,5.060000,5.520000,5.495587,11128400
2020-11-06,5.610000,5.740000,5.470000,5.590000,5.565277,9305700
2020-11-09,5.120000,5.280000,4.940000,5.190000,5.167046,11559700
2020-11-10,5.200000,5.350000,5.040000,5.260000,5.236737,8143900
2020-11-11,5.130000,5.180000,4.980000,5.030000,5.007754,6981400
2020-11-12,5.060000,5.350000,5.030000,5.220000,5.196913,7381500
2020-11-13,5.370000,5.420000,5.290000,5.330000,5.306427,4857100
2020-11-16,5.280000,5.610000,5.250000,5.590000,5.565277,7957600
2020-11-17,5.510000,5.550000,5.200000,5.270000,5.255153,7202000
2020-11-18,5.240000,5.260000,5.000000,5.010000,4.995886,6854300
2020-11-19,4.960000,5.060000,4.890000,5.050000,5.035773,6509100
2020-11-20,5.120000,5.260000,5.110000,5.150000,5.135491,8504100
2020-11-23,5.070000,5.120000,4.830000,4.880000,4.866252,8831300
2020-11-24,4.720000,4.870000,4.650000,4.700000,4.686759,10702100
2020-11-25,4.770000,4.860000,4.750000,4.820000,4.806421,6902700
2020-11-27,4.750000,4.840000,4.690000,4.790000,4.776505,4764600
2020-11-30,4.710000,4.900000,4.680000,4.780000,4.766534,11943100
2020-12-01,5.050000,5.190000,4.980000,5.170000,5.155435,10408100
2020-12-02,5.170000,5.240000,5.020000,5.220000,5.205294,7382900
2020-12-03,5.250000,5.270000,5.030000,5.070000,5.055717,5665500
2020-12-04,5.140000,5.250000,5.080000,5.180000,5.165407,6745300
2020-12-07,5.150000,5.400000,5.090000,5.340000,5.324956,6969400
2020-12-08,5.380000,5.420000,5.270000,5.320000,5.305012,6387600
2020-12-09,5.270000,5.300000,4.980000,5.060000,5.045745,7130400
2020-12-10,5.120000,5.310000,5.100000,5.220000,5.205294,6064700
2020-12-11,5.190000,5.280000,5.060000,5.090000,5.075660,4665100
2020-12-14,5.110000,5.200000,5.000000,5.010000,4.995886,5328300
2020-12-15,5.170000,5.450000,5.130000,5.420000,5.404731,9032000
2020-12-16,5.570000,5.850000,5.560000,5.820000,5.803604,11834500
2020-12-17,6.050000,6.470000,6.030000,6.400000,6.381970,17915400
