Date,Open,High,Low,Close,Adj Close,Volume
2020-05-06,4.200000,4.254000,4.000000,4.158000,4.158000,15893000
2020-05-07,4.360000,4.382000,4.110000,4.156000,4.156000,23446000
2020-05-08,4.250000,4.294000,4.026000,4.044000,4.044000,11140000
2020-05-11,4.020000,4.234000,3.940000,4.220000,4.220000,16471000
2020-05-12,4.310000,4.492000,4.060000,4.160000,4.160000,22610000
2020-05-13,4.202000,4.236000,3.950000,4.052000,4.052000,12580500
2020-05-14,3.968000,4.238000,3.874000,4.204000,4.204000,20706000
2020-05-15,4.266000,4.384000,4.164000,4.164000,4.164000,22017500
2020-05-18,4.422000,5.000000,4.374000,5.000000,5.000000,42178500
2020-05-19,4.990000,5.412000,4.932000,5.400000,5.400000,41974500
2020-05-20,5.518000,5.660000,5.242000,5.252000,5.252000,28028000
2020-05-21,5.358000,5.556000,5.246000,5.500000,5.500000,30466000
2020-05-22,5.320000,5.440000,5.154000,5.380000,5.380000,22925500
2020-05-25,5.550000,5.890000,5.550000,5.796000,5.796000,23934500
2020-05-26,6.114000,6.270000,5.750000,5.760000,5.760000,25939500
2020-05-27,5.770000,5.970000,5.578000,5.950000,5.950000,19348000
2020-05-28,5.952000,6.050000,5.790000,5.846000,5.846000,14740000
2020-05-29,5.790000,6.196000,5.702000,6.196000,6.196000,15279000
2020-06-01,6.342000,6.392000,6.162000,6.258000,6.258000,17478500
2020-06-02,6.398000,6.720000,6.380000,6.718000,6.718000,19810500
2020-06-03,6.820000,6.928000,6.322000,6.496000,6.496000,23072000
2020-06-04,6.382000,6.800000,6.322000,6.784000,6.784000,18396500
2020-06-05,7.042000,7.620000,6.974000,7.454000,7.454000,29239500
2020-06-08,7.696000,7.708000,7.360000,7.472000,7.472000,23103500
2020-06-09,7.222000,7.380000,7.010000,7.040000,7.040000,19798000
2020-06-10,7.184000,7.184000,6.564000,6.584000,6.584000,25620000
2020-06-12,6.196000,6.656000,6.048000,6.168000,6.168000,27565000
2020-06-15,5.824000,6.720000,5.750000,6.700000,6.700000,25916000
2020-06-16,7.040000,7.224000,6.440000,6.626000,6.626000,26651500
2020-06-17,6.720000,6.856000,6.524000,6.666000,6.666000,12096500
2020-06-18,6.638000,7.038000,6.616000,7.034000,7.034000,17947000
2020-06-19,7.240000,7.356000,6.850000,7.024000,7.024000,23489000
2020-06-22,7.072000,7.170000,6.838000,6.920000,6.920000,10013500
2020-06-23,7.100000,7.288000,6.920000,7.132000,7.132000,17200500
2020-06-24,7.000000,7.032000,6.470000,6.716000,6.716000,21306000
2020-06-25,6.634000,7.088000,6.550000,7.088000,7.088000,20444500
2020-06-26,6.998000,7.088000,6.822000,6.890000,6.890000,13622000
2020-06-29,6.978000,7.032000,6.824000,6.990000,6.990000,11035500
2020-06-30,6.900000,7.078000,6.842000,7.078000,7.078000,11433000
2020-07-01,7.084000,7.330000,6.900000,6.900000,6.900000,20198000
2020-07-02,7.130000,7.190000,6.908000,7.084000,7.084000,18604500
2020-07-03,7.028000,7.036000,6.868000,6.966000,6.966000,10453000
2020-07-06,7.080000,7.460000,7.050000,7.432000,7.432000,31797000
2020-07-07,7.318000,7.492000,7.270000,7.430000,7.430000,13814000
2020-07-08,7.498000,7.684000,7.330000,7.330000,7.330000,20526500
2020-07-09,7.428000,7.448000,7.104000,7.328000,7.328000,23111500
2020-07-10,7.320000,7.360000,7.168000,7.224000,7.224000,12803000
2020-07-13,7.300000,7.870000,7.260000,7.728000,7.728000,31708500
2020-07-14,7.600000,8.070000,7.502000,7.974000,7.974000,25490500
2020-07-15,8.158000,8.216000,7.900000,8.026000,8.026000,16513500
2020-07-16,7.960000,8.140000,7.906000,7.934000,7.934000,9055500
2020-07-17,8.010000,8.140000,7.792000,7.832000,7.832000,21974500
2020-07-20,7.854000,8.126000,7.850000,8.024000,8.024000,14944000
2020-07-21,8.228000,8.440000,8.128000,8.230000,8.230000,23530000
2020-07-22,8.220000,8.220000,7.960000,8.124000,8.124000,12995500
2020-07-23,8.118000,8.230000,7.738000,7.900000,7.900000,13510500
2020-07-24,7.860000,7.868000,7.566000,7.698000,7.698000,13692000
2020-07-27,7.758000,8.078000,7.710000,8.028000,8.028000,12841500
2020-07-28,8.028000,8.186000,7.810000,7.874000,7.874000,13316000
2020-07-29,7.980000,8.060000,7.868000,7.874000,7.874000,8377500
2020-07-30,7.764000,7.970000,7.614000,7.932000,7.932000,10235000
2020-07-31,7.970000,8.040000,7.732000,7.918000,7.918000,11177000
2020-08-03,7.962000,8.006000,7.800000,7.902000,7.902000,8472500
2020-08-04,7.700000,7.946000,7.648000,7.658000,7.658000,11629500
2020-08-05,7.840000,8.774000,7.830000,8.698000,8.698000,48037000
2020-08-06,8.680000,8.784000,8.400000,8.436000,8.436000,18104500
2020-08-07,8.406000,8.800000,8.280000,8.778000,8.778000,18658500
2020-08-10,8.778000,9.202000,8.728000,9.082000,9.082000,21706000
2020-08-11,9.278000,9.352000,8.706000,8.760000,8.760000,16075000
2020-08-12,8.900000,8.956000,8.570000,8.880000,8.880000,13456500
2020-08-13,8.880000,9.016000,8.620000,8.716000,8.716000,11656500
2020-08-14,8.740000,8.810000,8.486000,8.618000,8.618000,9661500
2020-08-17,8.522000,8.742000,8.172000,8.414000,8.414000,11884000
2020-08-18,8.606000,8.828000,8.526000,8.810000,8.810000,13368000
2020-08-19,8.898000,9.462000,8.844000,9.342000,9.342000,31808000
2020-08-20,9.110000,9.544000,9.030000,9.178000,9.178000,19630000
2020-08-21,9.192000,9.250000,8.862000,8.954000,8.954000,15401000
2020-08-24,9.110000,9.200000,8.770000,8.856000,8.856000,13294500
